candidateName,chamber,district,partyDescr,gen_receipts,pri_receipts,tot_receipts,tot_expenditures,tot_cash_on_hand,reports_filed,last_report_end_date,scrape_date
"Johnson, James  A",House,36,Republican,0.0,3910.95,3910.95,1440.52,2470.43,3,05/14/2020,2020-05-21
"Stuart, Jason",House,36,Republican,0.0,1789.81,1789.81,1612.38,177.43,3,05/14/2020,2020-05-21
"Buttrey, Ed",House,21,Republican,2680.0,5890.0,8570.0,4253.860000000001,4316.14,5,05/19/2020,2020-05-21
"Thomsen, Ryan  J",House,54,Democrat,1910.0,0.0,1910.0,218.48,1691.52,4,05/20/2020,2020-05-21
"Merrill, Laura  M.",House,87,Democrat,0.0,5615.0,5615.0,656.8100000000001,4958.19,3,05/15/2020,2020-05-21
"Meaders, Aaron  M",Senate,37,Republican,344.88,0.0,344.88,185.32,159.56,3,05/15/2020,2020-05-21
"NORDWICK, SUZZANN",Senate,39,Republican,0.0,0.0,0.0,0.0,0.0,2,04/20/2020,2020-05-21
"Buck, Sheridan",House,26,Republican,0.0,2363.58,2363.58,2244.8799999999997,118.7,3,05/20/2020,2020-05-21
"Seckinger, Josh",House,64,Democrat,0.0,3030.0,3030.0,1314.33,1715.67,3,05/15/2020,2020-05-21
"Caferro, Mary  M.",House,81,Democrat,690.0,0.0,690.0,0.0,690.0,2,04/15/2020,2020-05-21
"Gillette, Jane",House,64,Republican,0.0,61584.259999999995,61584.259999999995,53084.399999999994,8499.86,6,05/14/2020,2020-05-21
"johnson , andy",House,76,Republican,0.0,0.0,0.0,0.0,0.0,3,05/20/2020,2020-05-21
"Pope, Christopher  S",Senate,31,Democrat,15758.76,11340.0,27098.760000000002,11425.77,15672.99,5,05/15/2020,2020-05-21
"Coleman, Ed",House,79,Democrat,0.0,15945.75,15945.75,11398.07,1057.68,3,05/15/2020,2020-05-21
"LANG, MIKE  L",Senate,17,Republican,1560.0,0.0,1560.0,250.5,1309.5,3,05/15/2020,2020-05-21
